model,class_id,class_name,mask_precision,mask_recall,mask_f1,mask_map50,mask_map50_95
teacher,0,candle,0.9926551102033226,1.0,0.9963140185378453,0.995,0.9949999999999999
teacher,1,capsules,0.9991326133081724,1.0,0.9995661184825592,0.995,0.9512025947226244
teacher,2,cashew,0.9634622453118258,1.0,0.9813911600411896,0.995,0.9949999999999999
teacher,3,chewinggum,0.9443560993601914,1.0,0.9713818365585817,0.995,0.9949999999999999
teacher,4,fryum,0.9749034854762777,1.0,0.9872922830364695,0.995,0.9949999999999999
teacher,5,macaroni1,0.9985677243063826,1.0,0.9992833489322387,0.995,0.9949999999999999
teacher,6,macaroni2,0.9749460731486927,1.0,0.9873141210324982,0.995,0.9949999999999999
teacher,7,pcb1,0.9662278217448205,1.0,0.9828238732655047,0.995,0.9949999999999999
teacher,8,pcb2,0.9648486993893465,1.0,0.9821099199029533,0.995,0.9949999999999999
teacher,9,pcb3,0.9171816653941607,1.0,0.9568020411937267,0.995,0.9949999999999999
teacher,10,pcb4,0.9648760081083193,1.0,0.9821240669911299,0.995,0.9949999999999999
teacher,11,pipe_fryum,0.9821843756395843,1.0,0.9910121255220432,0.995,0.9949999999999999
pseudo_finetuned,0,candle,0.996203132168018,1.0,0.9980979551776085,0.995,0.9949999999999999
pseudo_finetuned,1,capsules,0.9997648854210343,1.0,0.9998824288891761,0.995,0.9435194626753489
pseudo_finetuned,2,cashew,1.0,1.0,1.0,0.995,0.9949999999999999
pseudo_finetuned,3,chewinggum,0.9718588430756228,1.0,0.9857286148939121,0.995,0.9949999999999999
pseudo_finetuned,4,fryum,1.0,1.0,1.0,0.995,0.9949999999999999
pseudo_finetuned,5,macaroni1,1.0,1.0,1.0,0.995,0.9949999999999999
pseudo_finetuned,6,macaroni2,0.9876051665767444,1.0,0.9937639357998836,0.995,0.9949999999999999
pseudo_finetuned,7,pcb1,0.9841606150226703,1.0,0.9920170852816022,0.995,0.9949999999999999
pseudo_finetuned,8,pcb2,0.9839242333436804,1.0,0.9918969855873851,0.995,0.9949999999999999
pseudo_finetuned,9,pcb3,0.9594910164855806,1.0,0.9793267827340828,0.995,0.9949999999999999
pseudo_finetuned,10,pcb4,1.0,1.0,1.0,0.995,0.9949999999999999
pseudo_finetuned,11,pipe_fryum,1.0,1.0,1.0,0.995,0.9949999999999999
