epoch,train_loss,val_loss,train_pr_auc,val_pr_auc,learning_rate
1,0.27397495626986196,0.0933416762535917,0.9681302868275462,0.6286340690474892,0.0002981717185783779
2,0.14833327892151,0.06734786934616395,0.9937532152324727,0.7553862374968543,0.00029273189266983027
3,0.11325374257358825,0.05827768182970389,0.9975773542910876,0.832670523517031,0.0002838144688419726
4,0.10104610707971527,0.06691593130515898,0.9981833028524402,0.8217239228215037,0.00027163902366467965
5,0.08633383872247613,0.045760518814520056,0.9992151590272734,0.8638447933174539,0.00025650535700620224
6,0.08636093611961768,0.045581411930778595,0.9992881119382596,0.8660917734065057,0.0002387861099654322
7,0.07981440794153255,0.04177492094408971,0.9994758194399431,0.8908143233643503,0.00021891758921132264
8,0.07565714801755795,0.0415379383666153,0.9996555344107868,0.8864921458596757,0.00019738902366467966
9,0.07161098396884949,0.04731061429061978,0.9997862043195969,0.8716489453808369,0.00017473051805847427
10,0.0711610695206827,0.041886648046336926,0.9997364852482595,0.8836144905528986,0.00015149999999999997
11,0.06927890578915503,0.03934720052821514,0.9998597564398782,0.8933034100136195,0.00012826948194152572
12,0.06673682312043945,0.04363231020137185,0.9998972650548033,0.8759429947425694,0.0001056109763353203
13,0.0662525495495749,0.036307437076908436,0.9999354196332482,0.9155653135772542,8.40824107886773e-05
14,0.06496489897620458,0.035658428303383595,0.9999246737320788,0.9088621070814313,6.421389003456775e-05
15,0.06398933131454679,0.036828565276179344,0.9999370336734217,0.9052848122457704,4.649464299379769e-05
16,0.063838964314917,0.03496231838722802,0.9999374052794204,0.9184582932397066,3.1360976335320314e-05
17,0.06273067488966486,0.0362401083697779,0.999972123523875,0.9108197233451263,1.918553115802738e-05
18,0.06277231015172731,0.03640707412495111,0.9999731589425426,0.9111136974572366,1.0268107330169699e-05
19,0.06204148728455091,0.036592213658761426,0.9999845179030256,0.9108400184582117,4.828281421622057e-06
20,0.06143499306180182,0.03654521437014656,0.999989306110388,0.9106544271484686,2.9999999999999997e-06
