model,parameters,epochs_completed,best_validation_pr_auc,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,negative_predictive_value,f1,mcc,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,checkpoint
resnet18,11640897,18,0.9340322820601459,0.309326171875,0.9938371239911958,0.9356383987266454,0.9508928571428572,0.8729508196721312,0.9983259777811596,0.9952966165983916,0.9102564102564102,0.9079608661529912,0.9883785186275512,0.9589712502843564,0.0053941397329119,6560.0,11.0,31.0,213.0,/home/student/RIDAC/misc/ridac/object_defect_dataset/balanced_augmented_full_r50_cap8_seed42/resnet_training_results/best_conditional_resnet.pt
mobilenet_v3_large,4332914,20,0.9184582932397066,0.50927734375,0.994424064563463,0.9379158548116289,0.963963963963964,0.8770491803278688,0.9987825292953888,0.995449719399363,0.9184549356223176,0.9166705659810668,0.990815643001664,0.949967063018556,0.004850889911878075,6563.0,8.0,30.0,214.0,/home/student/RIDAC/misc/ridac/object_defect_dataset/balanced_augmented_full_r50_cap8_seed42/lightweight_model_results/mobilenet_v3_large/best_conditional_mobilenet_v3_large.pt
efficientnet_b0,5821310,18,0.9381180264661587,0.429443359375,0.9938371239911958,0.9336653103178147,0.954954954954955,0.8688524590163934,0.9984781616192361,0.9951463673593205,0.9098712446351931,0.9077730826311015,0.9765540215202915,0.9454621338360161,0.005392809199993474,6561.0,10.0,32.0,212.0,/home/student/RIDAC/misc/ridac/object_defect_dataset/balanced_augmented_full_r50_cap8_seed42/lightweight_model_results/efficientnet_b0/best_conditional_efficientnet_b0.pt
